U (V)	F (N)	pos(deg)	elongation (mm)	t (s)
3.2	7.0	0.0	0.0	0.0
3.19	19.0	0.52734375	0.20708740636456158	0.41562771797180176
3.18	9.0	0.966796875	0.37966024500169615	0.9904308319091797
3.17	18.0	1.669921875	0.6557767868211116	1.563697338104248
3.16	7.0	2.28515625	0.8973787609131001	2.1407837867736816
3.15	14.0	2.900390625	1.1389807350050885	2.7302234172821045
3.14	11.0	3.076171875	1.2080098704599425	3.2897226810455322
3.13	15.0	4.04296875	1.5876701154616386	3.8649890422821045
3.12	10.0	4.482421875	1.7602429540987734	4.4428253173828125
3.11	18.0	5.009765625	1.9673303604633348	5.015406608581543
3.09	13.0	5.80078125	2.277961470010177	5.5923988819122314
3.08	0.0	6.416015625	2.519563444102166	6.167308807373047
3.07	16.0	7.20703125	2.830194553649008	6.740455150604248
3.06	3.0	7.470703125	2.9337382568312886	7.31938910484314
3.05	0.0	8.0859375	3.175340230923277	7.893422365188599
3.05	3.0	8.876953125	3.48597134047012	8.46902346611023
3.04	14.0	8.7890625	3.451456772742693	9.039963006973267
3.04	19.0	9.580078125	3.762087882289535	9.631097078323364
3.03	16.0	10.283203125	4.038204424108951	10.206117868423462
3.01	11.0	10.546875	4.1417481272912315	11.78746247291565
3.01	10.0	11.07421875	4.348835533655793	11.93135142326355
3.01	10.0	10.986328125	4.314320965928366	12.522554159164429
3.01	12.0	12.568359375	4.93558318502205	13.081537246704102
3.0	0.0	12.65625	4.970097752749477	13.675803184509277
3.0	19.0	13.447265625	5.2807288622963195	14.23117446899414
3.0	11.0	14.150390625	5.556845404115735	14.808460235595703
2.99	16.0	14.150390625	5.556845404115735	15.396595239639282
2.99	1.0	14.23828125	5.591359971843162	15.973466873168945
2.99	18.0	15.1171875	5.936505649117431	16.54701828956604
2.98	9.0	15.732421875	6.17810762320942	17.12368416786194
2.98	9.0	16.5234375	6.4887387327562625	17.698487043380737
2.98	16.0	16.5234375	6.4887387327562625	18.28798747062683
2.97	17.0	17.138671875	6.730340706848251	18.86285972595215
2.97	3.0	17.2265625	6.764855274575678	19.426773071289062
2.96	15.0	17.314453125	6.799369842303104	20.01341462135315
2.96	18.0	17.2265625	6.764855274575678	20.574918746948242
