U (V)	F (N)	pos(deg)	elongation (mm)	t (s)
3.2	10.0	0.0	0.0	0.0
3.19	10.0	0.087890625	0.03451456772742693	0.4488530158996582
3.19	6.0	0.439453125	0.17257283863713463	1.010892629623413
3.17	10.0	1.58203125	0.6212622190936846	1.6132464408874512
3.16	14.0	2.8125	1.1044661672776617	2.1902923583984375
3.14	9.0	2.98828125	1.1734953027325155	2.7494547367095947
3.13	13.0	4.21875	1.6566992509164926	3.3244400024414062
3.11	17.0	5.185546875	2.0363594959181888	3.8977930545806885
3.1	5.0	5.888671875	2.3124760377376044	4.477150917053223
3.08	2.0	6.591796875	2.5885925795570195	5.049989461898804
3.07	0.0	7.20703125	2.830194553649008	5.641095876693726
3.07	9.0	7.646484375	3.0027673922861426	6.199718713760376
3.06	10.0	8.0859375	3.175340230923277	6.791346788406372
3.04	12.0	9.4921875	3.727573314562108	7.3652024269104
3.03	9.0	10.1953125	4.0036898563815235	7.940149307250977
3.03	15.0	10.283203125	4.038204424108951	8.514828205108643
3.02	8.0	11.25	4.417864669110647	9.077280521392822
3.01	13.0	11.689453125	4.590437507747781	9.679527997970581
3.01	9.0	12.65625	4.970097752749477	10.240122079849243
3.0	16.0	12.65625	4.970097752749477	10.812969446182251
2.99	13.0	14.150390625	5.556845404115735	11.389507532119751
2.98	18.0	14.853515625	5.832961945935151	11.963354587554932
2.98	13.0	14.853515625	5.832961945935151	12.538334131240845
2.98	19.0	15.732421875	6.17810762320942	13.115452527999878
2.97	10.0	16.435546875	6.454224165028835	13.707428216934204
2.97	1.0	16.435546875	6.454224165028835	14.265940189361572
2.96	7.0	17.9296875	7.040971816395094	14.840895891189575
2.95	5.0	18.017578125	7.07548638412252	15.417845487594604
2.95	15.0	19.51171875	7.662234035488779	15.988643407821655
2.95	12.0	19.51171875	7.662234035488779	16.595778465270996
2.95	15.0	20.56640625	8.076408848217902	17.157044172286987
2.94	10.0	20.7421875	8.145437983672755	17.731369733810425
2.94	2.0	21.005859375	8.248981686855036	18.30655288696289
2.93	10.0	21.09375	8.283496254582463	18.879929065704346
2.93	5.0	21.09375	8.283496254582463	19.456661462783813
2.94	5.0	22.763671875	8.939273041403574	20.031959295272827
2.93	5.0	22.8515625	8.973787609131001	20.60867404937744
2.93	5.0	23.994140625	9.422476989587551	21.182295560836792
2.92	9.0	24.08203125	9.456991557314979	21.75869917869568
